id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"665738_Total",121,12,5,16,0,0,0,0,None,None,None,None,None
"732950_Total",142,60,7,13,0,1,0,0,None,None,None,None,None
"1110732_Total",67,2,2,12,0,0,0,0,None,None,None,None,None
"885704_Total",1,0,0,0,0,0,2,0,None,None,None,None,None
"599573_Total",95,0,0,6,0,0,113,28,None,None,None,None,None
"1044891_Total",96,12,12,11,0,0,0,0,None,None,None,None,None
"468244_Total",312,17,17,27,0,0,0,0,None,None,None,None,None
"519192_Total",244,14,31,14,1,1,0,0,None,None,None,None,None
"838829_Total",132,16,23,12,0,1,0,0,None,None,None,None,None
"522302_Total",219,20,22,22,1,0,0,0,None,None,None,None,None
"842418_Total",143,2,6,19,0,1,0,0,None,None,None,None,None
"191407_Total",390,8,32,40,2,2,0,0,None,None,None,None,None
"776215_Total",127,4,5,21,0,1,0,0,None,None,None,None,None
"1091178_Total",9,0,0,0,0,0,0,0,None,None,None,None,None
"665744_Total",141,2,4,13,0,1,0,0,None,None,None,None,None
"847288_Total",105,23,10,9,2,1,0,0,None,None,None,None,None
"1210200_Total",11,2,0,0,0,0,0,0,None,None,None,None,None
"348772_Total",313,9,37,45,1,1,0,0,None,None,None,None,None
"355641_Total",312,44,33,36,1,0,0,0,None,None,None,None,None
"97925_Total",411,0,0,26,0,1,450,141,None,None,None,None,None
"1165481_Total",26,0,1,1,0,0,0,0,None,None,None,None,None
"373594_Total",92,1,5,10,1,2,0,0,None,None,None,None,None
"836640_Total",98,1,8,18,0,0,0,0,None,None,None,None,None
"575594_Total",277,9,1,41,0,1,0,0,None,None,None,None,None
"868636_Total",148,39,20,11,1,0,0,0,None,None,None,None,None
"882910_Total",71,2,5,10,0,0,0,0,None,None,None,None,None
"146143_Total",266,23,28,35,3,5,0,0,None,None,None,None,None
"240708_Total",197,17,28,24,2,1,0,0,None,None,None,None,None
"667970_Total",87,11,7,6,0,0,0,0,None,None,None,None,None
"330726_Total",249,52,41,23,0,1,0,0,None,None,None,None,None
"800363_Total",158,3,17,17,0,0,0,0,None,None,None,None,None
"273432_Total",369,82,51,33,1,2,0,0,None,None,None,None,None
"441982_Total",162,13,15,8,0,1,0,0,None,None,None,None,None
"513275_Total",141,20,10,15,0,0,0,0,None,None,None,None,None
"728597_Total",75,5,5,20,3,2,0,0,None,None,None,None,None
"353476_Total",318,0,0,19,0,1,368,101,None,None,None,None,None
"245194_Total",140,4,19,20,0,0,0,0,None,None,None,None,None
"517712_Total",139,32,7,16,1,1,0,0,None,None,None,None,None
"1235899_Total",20,0,1,4,0,0,0,0,None,None,None,None,None
"1330446_Total",8,0,0,0,0,0,0,0,None,None,None,None,None
"1005645_Total",67,12,0,6,0,0,0,0,None,None,None,None,None
"1274628_Total",4,1,0,0,0,0,0,0,None,None,None,None,None
"342719_Total",284,9,2,59,1,0,0,0,None,None,None,None,None
"732953_Total",127,0,0,12,0,0,120,52,None,None,None,None,None
"217111_Total",497,134,135,60,1,0,0,0,None,None,None,None,None
"544414_Total",175,0,0,16,0,1,144,72,None,None,None,None,None
"1253671_Total",16,0,2,0,0,0,0,0,None,None,None,None,None
"263951_Total",327,27,32,30,0,3,0,0,None,None,None,None,None
"240707_Total",203,40,18,12,0,0,0,0,None,None,None,None,None
"881744_Total",16,1,0,0,0,0,0,0,None,None,None,None,None
"916708_Total",137,17,21,7,0,0,0,0,None,None,None,None,None
"546225_Total",132,9,14,15,0,0,0,0,None,None,None,None,None
"382417_Total",113,19,4,3,0,0,0,0,None,None,None,None,None
"743585_Total",68,9,5,7,0,0,0,0,None,None,None,None,None
"925782_Total",120,1,3,29,3,0,0,0,None,None,None,None,None
"681691_Total",156,4,3,32,1,2,0,0,None,None,None,None,None
"55619_Total",629,99,107,115,4,3,0,0,None,None,None,None,None
"1311408_Total",6,0,0,2,0,0,4,2,None,None,None,None,None
"1302206_Total",22,3,0,5,0,0,0,0,None,None,None,None,None
"974042_Total",89,17,7,15,0,1,0,0,None,None,None,None,None
"1150962_Total",42,9,4,4,0,0,0,0,None,None,None,None,None
"262685_Total",203,5,6,28,1,0,0,0,None,None,None,None,None
"822538_Total",65,0,0,8,0,0,54,30,None,None,None,None,None
"240712_Total",111,0,0,7,0,1,117,35,None,None,None,None,None
"617592_Total",219,3,5,28,1,1,0,0,None,None,None,None,None
"274235_Total",235,5,14,36,1,0,0,0,None,None,None,None,None
"241324_Total",215,16,36,14,1,1,0,0,None,None,None,None,None
"1274436_Total",33,6,6,3,0,0,0,0,None,None,None,None,None
"738952_Total",92,3,2,14,0,0,0,0,None,None,None,None,None
"560873_Total",173,14,11,25,2,2,0,0,None,None,None,None,None
"847308_Total",67,4,6,9,0,0,0,0,None,None,None,None,None
"679259_Total",172,43,19,14,0,1,0,0,None,None,None,None,None
"904603_Total",76,1,2,15,0,0,0,0,None,None,None,None,None
"569755_Total",221,12,3,52,2,4,0,0,None,None,None,None,None
"518804_Total",197,12,33,19,0,0,0,0,None,None,None,None,None
"969934_Total",53,3,0,4,0,0,0,0,None,None,None,None,None
"238634_Total",293,53,52,26,1,3,0,0,None,None,None,None,None
"371606_Total",210,2,13,28,1,1,0,0,None,None,None,None,None
"988205_Total",20,0,0,0,0,0,0,0,None,None,None,None,None
"245193_Total",300,28,11,45,0,4,0,0,None,None,None,None,None
"913377_Total",4,0,0,0,0,0,3,3,None,None,None,None,None
"707310_Total",140,38,19,12,0,0,0,0,None,None,None,None,None
"318904_Total",306,23,34,34,0,0,0,0,None,None,None,None,None
"1079652_Total",10,1,1,0,0,0,0,0,None,None,None,None,None
"876730_Total",18,1,0,2,0,0,0,0,None,None,None,None,None
"711572_Total",169,2,8,15,0,1,0,0,None,None,None,None,None
"199704_Total",472,25,3,58,3,3,0,0,None,None,None,None,None
"507374_Total",289,50,46,20,0,0,0,0,None,None,None,None,None
"573065_Total",81,2,3,8,0,0,0,0,None,None,None,None,None
"859133_Total",39,0,0,3,0,0,26,18,None,None,None,None,None
"371211_Total",212,45,24,23,1,0,0,0,None,None,None,None,None
"553100_Total",210,34,25,32,2,0,0,0,None,None,None,None,None
"1105266_Total",36,4,5,5,0,1,0,0,None,None,None,None,None
"238997_Total",263,0,0,20,0,1,200,125,None,None,None,None,None
"660041_Total",251,58,36,26,0,0,0,0,None,None,None,None,None
"711281_Total",168,23,21,22,1,1,0,0,None,None,None,None,None
"518802_Total",219,8,11,11,0,0,0,0,None,None,None,None,None
"689431_Total",169,38,30,24,0,2,0,0,None,None,None,None,None
"631508_Total",114,16,12,16,0,0,0,0,None,None,None,None,None
"742502_Total",119,12,6,15,0,0,0,0,None,None,None,None,None
"872090_Total",81,17,6,8,0,0,0,0,None,None,None,None,None
"518801_Total",193,13,8,50,3,4,0,0,None,None,None,None,None
"635927_Total",42,4,1,6,0,1,0,0,None,None,None,None,None
"904465_Total",39,3,3,3,0,1,0,0,None,None,None,None,None
"734155_Total",161,10,14,29,2,1,0,0,None,None,None,None,None
"1299944_Total",5,0,0,1,0,0,0,0,None,None,None,None,None
"1055358_Total",67,4,6,5,0,0,0,0,None,None,None,None,None
"366744_Total",251,51,27,32,2,2,0,0,None,None,None,None,None
"799742_Total",111,14,8,5,0,0,0,0,None,None,None,None,None
"816064_Total",125,2,5,23,0,1,0,0,None,None,None,None,None
"1134249_Total",11,0,0,1,0,0,9,4,None,None,None,None,None
"738951_Total",107,17,8,24,0,1,0,0,None,None,None,None,None
"556272_Total",129,0,0,14,0,0,107,51,None,None,None,None,None
"844795_Total",54,9,1,2,0,0,0,0,None,None,None,None,None
"737182_Total",128,2,17,15,1,0,0,0,None,None,None,None,None
"593405_Total",112,14,24,7,0,1,0,0,None,None,None,None,None
"1232068_Total",39,4,0,3,0,0,0,0,None,None,None,None,None
"627926_Total",123,5,5,12,0,0,0,0,None,None,None,None,None
"1055193_Total",57,0,1,4,0,0,0,0,None,None,None,None,None
"1039603_Total",83,18,4,14,0,1,0,0,None,None,None,None,None
"834876_Total",91,6,1,16,0,1,0,0,None,None,None,None,None
"1150961_Total",9,0,0,2,0,0,0,0,None,None,None,None,None
"507134_Total",156,3,6,28,1,1,0,0,None,None,None,None,None
"1203514_Total",1,0,0,0,0,0,0,0,None,None,None,None,None
"838828_Total",117,5,10,16,1,0,0,0,None,None,None,None,None
"844300_Total",40,14,5,9,0,0,0,0,None,None,None,None,None
"920971_Total",67,7,1,6,0,0,0,0,None,None,None,None,None
"717213_Total",164,7,10,21,0,1,0,0,None,None,None,None,None
"667994_Total",70,1,5,7,0,1,0,0,None,None,None,None,None
"981522_Total",25,0,0,3,0,0,22,9,None,None,None,None,None
"811084_Total",73,2,2,12,0,1,0,0,None,None,None,None,None
"508643_Total",206,37,35,12,0,1,0,0,None,None,None,None,None
"913361_Total",124,29,6,10,1,0,0,0,None,None,None,None,None
"262953_Total",212,16,5,55,3,1,0,0,None,None,None,None,None
"290768_Total",292,61,18,30,0,0,0,0,None,None,None,None,None
"339552_Total",95,22,20,16,0,1,0,0,None,None,None,None,None
"1091104_Total",5,0,0,1,0,0,0,0,None,None,None,None,None
"682847_Total",71,2,0,3,0,0,0,0,None,None,None,None,None
"308265_Total",291,21,26,15,0,0,0,0,None,None,None,None,None
"1176891_Total",46,4,1,3,0,0,0,0,None,None,None,None,None
"1317548_Total",4,0,0,0,0,0,0,0,None,None,None,None,None
"1176890_Total",57,1,0,8,1,0,0,0,None,None,None,None,None
"721818_Total",44,0,1,5,0,1,0,0,None,None,None,None,None
"863795_Total",33,1,2,7,0,0,0,0,None,None,None,None,None
"858584_Total",108,9,8,10,1,1,0,0,None,None,None,None,None
"712126_Total",64,4,2,11,0,2,0,0,None,None,None,None,None
"689435_Total",152,0,10,28,0,3,0,0,None,None,None,None,None
"1174262_Total",50,1,0,6,0,2,0,0,None,None,None,None,None
"1115476_Total",5,0,0,0,0,0,0,0,None,None,None,None,None
"367149_Total",115,2,6,21,2,0,0,0,None,None,None,None,None
"1344495_Total",0,0,0,0,0,0,0,0,None,None,None,None,None
"1235905_Total",19,0,0,0,0,0,45,0,None,None,None,None,None
"255642_Total",222,16,2,39,6,0,0,0,None,None,None,None,None
"692591_Total",80,2,5,17,0,0,0,0,None,None,None,None,None
"1370739_Total",10,1,1,2,0,0,0,0,None,None,None,None,None
"306668_Total",327,8,11,61,2,4,0,0,None,None,None,None,None
"1091105_Total",16,2,1,1,0,0,0,0,None,None,None,None,None
"356586_Total",114,0,0,16,0,0,157,29,None,None,None,None,None
"1139810_Total",5,1,0,1,0,0,0,0,None,None,None,None,None
"1266261_Total",16,4,0,1,0,0,0,0,None,None,None,None,None
"842564_Total",87,4,7,8,0,0,0,0,None,None,None,None,None
"343949_Total",162,15,14,17,0,0,0,0,None,None,None,None,None
"1055339_Total",98,2,8,13,0,0,0,0,None,None,None,None,None
"713000_Total",63,3,1,9,0,0,0,0,None,None,None,None,None
"235602_Total",332,0,0,23,0,3,326,117,None,None,None,None,None
"1332783_Total",15,1,0,0,0,0,0,0,None,None,None,None,None
"1175868_Total",44,4,3,2,0,0,0,0,None,None,None,None,None
"1267107_Total",8,0,0,2,0,0,0,0,None,None,None,None,None
"727209_Total",74,0,2,2,0,0,0,0,None,None,None,None,None
"667999_Total",51,0,0,7,0,0,0,0,None,None,None,None,None
"1245251_Total",13,1,0,2,0,0,0,0,None,None,None,None,None
"1134255_Total",14,0,0,5,0,0,0,0,None,None,None,None,None
"904578_Total",16,2,0,1,0,0,0,0,None,None,None,None,None
"943495_Total",64,8,0,11,1,3,0,0,None,None,None,None,None
"1066475_Total",61,3,2,14,0,0,0,0,None,None,None,None,None
"1267109_Total",30,8,6,3,0,0,0,0,None,None,None,None,None
"276255_Total",357,65,28,42,2,1,0,0,None,None,None,None,None
"869457_Total",34,0,0,1,0,0,59,7,None,None,None,None,None
"1430198_Total",6,0,1,1,0,0,0,0,None,None,None,None,None
"593478_Total",16,0,0,4,0,0,0,0,None,None,None,None,None
"1074351_Total",35,4,4,4,0,1,0,0,None,None,None,None,None
"537209_Total",205,9,9,30,1,3,0,0,None,None,None,None,None
"1180814_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1443774_Total",4,0,0,1,0,0,0,0,None,None,None,None,None
"848947_Total",73,1,1,9,2,1,0,0,None,None,None,None,None
"667966_Total",50,1,5,4,0,0,0,0,None,None,None,None,None
"245346_Total",304,55,16,32,1,3,0,0,None,None,None,None,None
"64490_Total",353,13,2,52,2,5,0,0,None,None,None,None,None
"708663_Total",19,3,2,2,0,0,0,0,None,None,None,None,None
"1443785_Total",4,0,1,0,0,0,0,0,None,None,None,None,None
"667992_Total",21,0,0,0,1,0,23,7,None,None,None,None,None
"239291_Total",329,50,35,14,0,2,0,0,None,None,None,None,None
"1134252_Total",10,0,1,1,0,0,0,0,None,None,None,None,None
"1246533_Total",3,0,0,1,0,0,0,0,None,None,None,None,None
"1028119_Total",41,0,0,4,0,2,0,0,None,None,None,None,None
"1055313_Total",24,3,1,4,0,0,0,0,None,None,None,None,None
"1180811_Total",12,0,1,1,0,1,0,0,None,None,None,None,None
"926103_Total",50,8,0,2,0,0,0,0,None,None,None,None,None
"1091486_Total",12,2,0,3,0,0,0,0,None,None,None,None,None
"238952_Total",121,0,3,11,0,0,0,0,None,None,None,None,None
"1371032_Total",8,0,0,2,0,0,0,0,None,None,None,None,None
"913644_Total",45,1,1,8,0,0,0,0,None,None,None,None,None
"926806_Total",75,5,5,7,0,0,0,0,None,None,None,None,None
"352125_Total",256,7,12,27,0,2,0,0,None,None,None,None,None
"1322435_Total",10,0,0,1,0,0,0,0,None,None,None,None,None
"789533_Total",149,49,7,10,0,0,0,0,None,None,None,None,None
"353473_Total",134,7,7,21,1,0,0,0,None,None,None,None,None
"709481_Total",59,4,4,8,0,0,0,0,None,None,None,None,None
"908118_Total",15,1,0,2,0,0,0,0,None,None,None,None,None
"1036559_Total",44,0,0,4,0,0,55,11,None,None,None,None,None
"918020_Total",56,3,3,5,0,0,0,0,None,None,None,None,None
"292309_Total",153,0,0,14,0,1,183,48,None,None,None,None,None
"1110587_Total",19,0,1,0,0,0,0,0,None,None,None,None,None
"1174677_Total",40,0,2,1,0,1,0,0,None,None,None,None,None
"642295_Total",118,0,1,18,1,0,0,0,None,None,None,None,None
"1184401_Total",58,6,0,9,0,0,0,0,None,None,None,None,None
"467571_Total",223,9,11,35,0,1,0,0,None,None,None,None,None
"1327935_Total",27,0,2,1,0,0,0,0,None,None,None,None,None
"1337458_Total",21,8,0,0,0,0,0,0,None,None,None,None,None
"920577_Total",92,12,6,7,0,0,0,0,None,None,None,None,None
"1194144_Total",13,1,1,2,0,0,0,0,None,None,None,None,None
"1153106_Total",4,0,0,0,0,0,6,1,None,None,None,None,None
"1233132_Total",23,0,1,2,0,0,0,0,None,None,None,None,None
"1270327_Total",14,1,0,1,0,0,0,0,None,None,None,None,None
"1338486_Total",28,0,1,3,0,0,0,0,None,None,None,None,None
"182912_Total",303,42,14,31,1,1,0,0,None,None,None,None,None
"975918_Total",77,11,8,6,0,0,0,0,None,None,None,None,None
"491280_Total",188,15,8,28,2,0,0,0,None,None,None,None,None
"1134278_Total",37,4,2,5,0,0,0,0,None,None,None,None,None
"593395_Total",19,0,0,1,0,0,22,5,None,None,None,None,None
"1263250_Total",7,0,0,0,0,0,0,0,None,None,None,None,None
